dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1688169600,2023-07-01 00:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,72.81,10000,64.04,73.26,71.6,76.98,1017,,,74,11.5,170,,,,,,75,803,Clouds,broken clouds,04d
1688173200,2023-07-01 01:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.8,10000,64.2,72.3,71.01,74.19,1017,,,77,11.99,180,0,,,,,20,801,Clouds,few clouds,02n
1688176800,2023-07-01 02:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,70.56,10000,63.73,71.02,69.8,73.38,1018,,,79,9.22,190,,,,,,20,801,Clouds,few clouds,02n
1688180400,2023-07-01 03:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,70.03,10000,63.93,70.54,69.01,73.38,1018,,,81,8.05,210,,,,,,20,801,Clouds,few clouds,02n
1688184000,2023-07-01 04:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,69.67,10000,64.96,70.34,69.01,72.99,1018,,,85,7,190,0,,,,,20,801,Clouds,few clouds,02n
1688187600,2023-07-01 05:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,68.45,10000,65.08,69.17,67.98,72.19,1017,,,89,8.05,180,,,,,,20,801,Clouds,few clouds,02n
1688191200,2023-07-01 06:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,68.43,,63.41,68.92,66.99,71.2,1017,,,84,1.01,192,1.99,,,,,1,800,Clear,sky is clear,01n
1688194800,2023-07-01 07:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,66.69,10000,61.7,67.01,65.98,70.99,1017,,,84,5.01,190,0,,,,,20,801,Clouds,few clouds,02n
1688198400,2023-07-01 08:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,66.13,10000,62.15,66.52,64.99,68.04,1017,,,87,5.01,210,0,,,,,20,801,Clouds,few clouds,02n
1688202000,2023-07-01 09:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,66.06,10000,62.08,66.45,64.98,68.04,1017,,,87,3.44,220,,,,,,20,801,Clouds,few clouds,02n
1688205600,2023-07-01 10:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,65.93,9656,61.95,66.31,64.31,68.02,1018,,,87,5.01,230,0,,,,,20,701,Mist,mist,50d
1688209200,2023-07-01 11:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,68.94,10000,63.9,69.48,66.99,71.58,1018,,,84,5.75,220,,,,,,40,802,Clouds,scattered clouds,03d
1688212800,2023-07-01 12:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.8,10000,64.2,72.3,70.99,75.02,1018,,,77,6.91,220,,,,,,40,802,Clouds,scattered clouds,03d
1688216400,2023-07-01 13:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.92,10000,63.93,74.35,72.99,77.32,1018,,,71,7,210,0,,,,,40,802,Clouds,scattered clouds,03d
1688220000,2023-07-01 14:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.87,10000,64.13,76.3,74.98,79.32,1018,,,67,8.05,200,,,,,,75,803,Clouds,broken clouds,04d
1688223600,2023-07-01 15:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.29,10000,65.05,77.81,75.2,81.3,1018,,,66,9.22,170,,,,,,75,803,Clouds,broken clouds,04d
1688227200,2023-07-01 16:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,79.05,10000,63.99,79.05,78.01,83.32,1018,,,60,12.66,170,17.27,,,,,75,803,Clouds,broken clouds,04d
1688230800,2023-07-01 17:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.74,10000,65.91,78.37,76.98,81.99,1018,,,67,14,160,0,,,,,75,803,Clouds,broken clouds,04d
1688234400,2023-07-01 18:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,78.89,10000,64.31,78.89,77.04,83.19,1017,,,61,14,170,0,,,,,75,803,Clouds,broken clouds,04d
1688238000,2023-07-01 19:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,78.91,10000,63.37,78.91,78.01,82.38,1017,,,59,16.11,170,,,,,,75,803,Clouds,broken clouds,04d
1688241600,2023-07-01 20:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.58,10000,63.54,77.95,76.98,81.19,1016,,,62,13.8,180,,,,,,75,803,Clouds,broken clouds,04d
1688245200,2023-07-01 21:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.16,10000,64.49,77.63,76.03,81.19,1016,,,65,12.66,180,,,,,,75,803,Clouds,broken clouds,04d
1688248800,2023-07-01 22:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.43,10000,64.15,75.87,74.98,78.78,1015,,,68,16.11,170,,,,,,75,803,Clouds,broken clouds,04d
1688252400,2023-07-01 23:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.6,10000,64.42,74.08,72.99,77.32,1015,,,73,12.66,180,,,,,,75,803,Clouds,broken clouds,04d
1688256000,2023-07-02 00:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,72.05,10000,65.55,72.72,71.01,75.31,1015,,,80,14.97,170,,,,,,75,803,Clouds,broken clouds,04d
1688259600,2023-07-02 01:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.6,10000,64.74,72.18,70.99,73.38,1015,,,79,9.22,160,,,,,,75,803,Clouds,broken clouds,04n
1688263200,2023-07-02 02:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.74,10000,65.95,72.46,71.01,73.38,1015,,,82,12.66,160,,,,,,100,804,Clouds,overcast clouds,04n
1688266800,2023-07-02 03:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.76,10000,65.97,72.5,70.99,73.38,1015,,,82,11.5,180,,,,,,100,804,Clouds,overcast clouds,04n
1688270400,2023-07-02 04:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.69,10000,67.28,72.61,70.99,73.38,1015,,,86,9.22,180,,,,,,100,804,Clouds,overcast clouds,04n
1688274000,2023-07-02 05:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.74,10000,68.32,72.81,71.01,73.38,1015,,,89,9.22,170,,,,,,100,804,Clouds,overcast clouds,04n
1688277600,2023-07-02 06:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.69,10000,68.59,72.79,70.99,73.38,1014,,,90,6.91,170,,,,,,100,804,Clouds,overcast clouds,04n
1688281200,2023-07-02 07:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.74,10000,68.97,72.9,71.01,73.38,1013,,,91,10.36,170,,0.77,,,,100,500,Rain,light rain,10n
1688284800,2023-07-02 08:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.44,10000,68.99,72.61,69.98,73.38,1013,,,92,10.36,140,,2.71,,,,100,501,Rain,moderate rain,10n
1688288400,2023-07-02 09:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,70,10000,67.24,70.97,69.01,72,1012,,,91,11.5,170,,,1.27,,,100,500,Rain,light rain,10n
1688292000,2023-07-02 10:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.56,10000,70.05,72.88,70.99,73.38,1013,,,95,8.05,140,,0.51,,,,100,500,Rain,light rain,10d
1688295600,2023-07-02 11:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.64,10000,68.86,72.77,70.99,73.38,1012,,,91,10.36,170,,0.25,,,,100,500,Rain,light rain,10d
1688299200,2023-07-02 12:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,72.19,10000,69.1,73.35,71.01,74.05,1012,,,90,11.99,170,0,1.34,,,,100,501,Rain,moderate rain,10d
1688302800,2023-07-02 13:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.98,10000,70.52,75.25,72.99,77.05,1012,,,89,14,180,0,1.23,,,,75,501,Rain,moderate rain,10d
1688306400,2023-07-02 14:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.79,10000,69.55,76.87,74.98,79,1012,,,81,16.11,190,,0.79,,,,75,500,Rain,light rain,10d
1688310000,2023-07-02 15:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.56,9656,69.31,76.62,74.98,80.58,1012,,,81,9.22,210,,,,,,75,721,Haze,haze,50d
1688313600,2023-07-02 16:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,80.42,10000,71.37,84.22,79.03,84.04,1012,,,74,9.22,230,,0.2,,,,75,500,Rain,light rain,10d
1688317200,2023-07-02 17:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,82.42,10000,71.65,87.24,81.03,86.02,1011,,,70,11.5,230,,,,,,75,803,Clouds,broken clouds,04d
1688320800,2023-07-02 18:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,84.43,10000,73.15,91.08,83.03,89.02,1011,,,69,13,170,0,,,,,75,803,Clouds,broken clouds,04d
1688324400,2023-07-02 19:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,79.07,9656,71.24,79.07,78.01,84.18,1010,,,77,13.8,170,,,,,,75,721,Haze,haze,50d
1688328000,2023-07-02 20:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,80.1,9656,71.85,83.89,78.8,84.31,1010,,,76,13,180,0,,,,,75,721,Haze,haze,50d
1688331600,2023-07-02 21:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,79.09,,71.64,79.09,77.99,83.98,1010,,,78,15.01,180,0,,,,,100,804,Clouds,overcast clouds,04d
1688335200,2023-07-02 22:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.83,9656,72.01,77.25,74.98,80.31,1009,,,88,9.22,180,,9.32,,,,75,701,Mist,mist,50d
1688335200,2023-07-02 22:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.83,9656,72.01,77.25,74.98,80.31,1009,,,88,9.22,180,,9.32,,,,75,502,Rain,heavy intensity rain,10d
1688335200,2023-07-02 22:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.83,9656,72.01,77.25,74.98,80.31,1009,,,88,9.22,180,,9.32,,,,75,211,Thunderstorm,thunderstorm,11d
1688338800,2023-07-02 23:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.18,10000,72.66,78.64,75.97,80.06,1009,,,86,7,160,0,1.93,,,,75,501,Rain,moderate rain,10d
1688342400,2023-07-03 00:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.25,10000,71.11,76.57,73.99,80.02,1009,,,87,11.99,170,0,0.54,,,,75,500,Rain,light rain,10d
1688346000,2023-07-03 01:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.56,10000,70.77,74.89,72.99,77.32,1009,,,91,14,180,21,0.1,,,,75,500,Rain,light rain,10n
1688349600,2023-07-03 02:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.56,10000,70.77,74.89,72.99,77.02,1009,,,91,10.36,180,,0.58,,,,100,500,Rain,light rain,10n
1688353200,2023-07-03 03:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.44,10000,70.97,74.8,72.99,76.32,1009,,,92,8.05,180,,1.1,,,,100,501,Rain,moderate rain,10n
1688356800,2023-07-03 04:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.45,10000,70.99,74.82,72.99,76.98,1009,,,92,9.22,190,,1.24,,,,75,211,Thunderstorm,thunderstorm,11n
